ligand,affinity,ligand,
1336,-7.9,individual_ligand_1336,"Acacetin 7- [ 6""'-acetylglucosyl- (1->2) ] -rhamnosyl- (1->6) -glucoside"
1345,-7.9,individual_ligand_1345,Acacetin 7-rhamnosyl- (1->2) -glucosyl- (1->2) -glucosyl- (1->2) -glucoside
1351,-7.9,individual_ligand_1351,Aciculatin
1440,-7.9,individual_ligand_1440,Ampelopsin 3'-methyl ether 4'-rhamnoside
1473,-7.9,individual_ligand_1473,Apigeniflavan
151,-7.9,individual_ligand_151,2'-Hydroxy-6'-methoxy-4'-prenyloxychalcone
1520,-7.9,individual_ligand_1520,Apigenin 7-glucuronide-4'-rhamnoside
1523,-7.9,individual_ligand_1523,Apigenin 7-lactate
1571,-7.9,individual_ligand_1571,Aromadendrin 7-methyl ether 5-glucoside
1575,-7.9,individual_ligand_1575,"Aromadendrin 7,4'-dimethyl ether 5-glucoside"
1577,-7.9,individual_ligand_1577,Arteanoflavone
1592,-7.9,individual_ligand_1592,Artocommunol CC
1623,-7.9,individual_ligand_1623,Aurapin
1631,-7.9,individual_ligand_1631,Australone A
1642,-7.9,individual_ligand_1642,Baohuosu
1646,-7.9,individual_ligand_1646,Barpisoflavone C
1652,-7.9,individual_ligand_1652,Bavachin
1736,-7.9,individual_ligand_1736,Calomelanol D
1754,-7.9,individual_ligand_1754,Calyxin M
